Time,T(°C),R_H(%),CO2(ppm),Light(lx)
11:54:15,31.3,64.7,395,2791.67
11:54:28,31.5,64.2,395,2791.67
11:54:51,31.5,64.2,396,2790.83
11:55:29,31.6,64.2,381,2803.33
11:55:41,31.6,63.6,379,2802.5
11:56:01,31.6,63.5,380,2805.0
11:56:15,31.6,63.4,381,2802.5
11:57:12,31.7,63.4,386,2809.17
11:57:46,31.7,63.4,383,2807.5
11:58:04,31.8,63.1,387,2804.17
11:58:11,31.8,63.0,381,2805.0
11:58:31,31.8,63.2,395,2800.0
11:58:54,31.9,63.1,380,2795.0
12:07:53,32.3,62.4,408,2815.0
12:08:51,32.2,62.7,404,2821.67
12:09:02,32.3,62.6,393,2823.33
